ime,chars,unicode
"yun","勻","52FB"
"kyun","勻","52FB"
"kwu","勼","52FC"
"kwu","勾","52FE"
"kwi","勾","52FE"
"mwul","勿","52FF"
"mol","勿","52FF"
"pho","包","5305"
"chong","匆","5306"
"hung","匈","5308"
"phyeng","匉","5309"
"kwuk","匊","530A"
"yo","匋","530B"
"to","匋","530B"
"pho","匍","530D"
"ap","匎","530E"
"pho","匏","530F"
"pok","匐","5310"
"kwung","匑","5311"
"tap","匒","5312"
"pi","匕","5315"
"hwa","化","5316"
"pey","北","5317"
"pwuk","北","5317"
"si","匙","5319"
"pang","匚","531A"
"i","匜","531C"
"cap","匝","531D"
"kang","匟","531F"
"cang","匠","5320"
"kwang","匡","5321"
"kap","匣","5323"
"pi","匪","532A"
"pwun","匪","532A"
"kwey","匭","532D"
"hoy","匯","532F"
"tan","匰","5330"
"kwey","匱","5331"
"san","匴","5334"
"mok","匹","5339"
"phil","匹","5339"
"ap","匼","533C"
"en","匽","533D"
"phyen","匾","533E"
"nik","匿","533F"
"kwu","區","5340"
"wu","區","5340"
"sip","十","5341"
"chen","千","5343"
"ip","卄","5344"
"sap","卅","5345"
"sung","升","5347"
"o","午","5348"
"hwey","卉","5349"
"pan","半","534A"
"sip","卌","534C"
"man","卍","534D"
"pi","卑","5351"
"col","卒","5352"
"thak","卓","5353"
"hyep","協","5354"
"nam","南","5357"
"pak","博","535A"
"pok","卜","535C"
"pyen","卞","535E"
"cem","占","5360"
"cap","卡","5361"
"yu","卣","5363"
"kway","卦","5366"
"ang","卬","536C"
"chi","卮","536E"
"myo","卯","536F"
"kkut","印","5370"
"in","印","5370"
"wi","危","5371"
"so","卲","5372"
"cuk","即","5373"
"lan","卵","5375"
"kwen","卷","5377"
"sa","卸","5378"
"hyul","卹","5379"
"kak","卻","537B"
"ol","卼","537C"
"kyeng","卿","537F"
"han","厂","5382"
"em","厂","5382"
"ayk","厄","5384"
"a","厊","538A"
"ci","厎","538E"
"cil","厔","5394"
"pang","厖","5396"
"cen","厘","5398"
"li","厘","5398"
"hwu","厚","539A"
"co","厝","539D"
"pi","厞","539E"
"wen","原","539F"
"lyek","厤","53A4"
"kwul","厥","53A5"
"kwel","厥","53A5"
"kwey","厬","53AC"
"yep","厭","53AD"
"yem","厭","53AD"
"lye","厲","53B2"
"kwu","厹","53B9"
"ke","去","53BB"
"cham","參","53C3"
"sam","參","53C3"
"wu","又","53C8"
"cha","叉","53C9"
"kup","及","53CA"
"wu","友","53CB"
"pen","反","53CD"
"pan","反","53CD"
"swuk","叔","53D4"
"chwi","取","53D6"
"swu","受","53D7"
"pan","叛","53DB"
"swu","叟","53DF"
"yey","叡","53E1"
"chong","叢","53E2"
"kwu","口","53E3"
"ko","古","53E4"
"kwi","句","53E5"
"kwu","句","53E5"
"lyeng","另","53E6"
"to","叨","53E8"
"ko","叩","53E9"
"ci","只","53EA"
"kyu","叫","53EB"
"so","召","53EC"
"co","召","53EC"
"phal","叭","53ED"
"ceng","叮","53EE"
"ka","可","53EF"
"kuk","可","53EF"
"thay","台","53F0"
"i","台","53F0"
"cil","叱","53F1"
"sa","史","53F2"
"wu","右","53F3"
"pha","叵","53F5"
"sa","司","53F8"
"yu","吁","5401"
"hul","吃","5403"
"kak","各","5404"
"yo","吆","5406"
"kap","合","5408"
"hap","合","5408"
"kil","吉","5409"
"cek","吊","540A"
"chon","吋","540B"
"tong","同","540C"
"myeng","名","540D"
"hwu","后","540E"
"li","吏","540F"
"tho","吐","5410"
"sang","向","5411"
"hyang","向","5411"
"tha","吒","5412"
"thak","吒","5412"
"wu","吘","5418"
"kwun","君","541B"
"lin","吝","541D"
"than","吞","541E"
"um","吟","541F"
"phyey","吠","5420"
"pwu","否","5426"
"pi","否","5426"
"pha","吧","5427"
"twun","吨","5428"
"pwun","吩","5429"
"wa","吪","542A"
