id,tra,sim
60031,"奓","奓"
60041,"奐","奂"
60047,"奕","奕"
60058,"套","套"
59832,"奄","奄"
59872,"奅","奅"
59873,"契","契"
59929,"奏","奏"
60011,"奎","奎"
60028,"奊","奊"
60146,"奘","奘"
60147,"匏","匏"
60166,"奢","奢"
60207,"爽","爽"
60621,"尥","尥"
60622,"尪","尪"
60647,"尨","尨"
66065,"吪","吪"
66066,"听","听"
66069,"吤","吤"
66071,"吟","吟"
69242,"喎","喎"
69244,"唾","唾"
60389,"奩","奁"
60396,"奪","夺"
60438,"奭","奭"
60439,"奫","奫"
60444,"奮","奋"
60542,"奰","奰"
60547,"奲","奲"
60548,"兀","兀"
62054,"尐","尐"
62055,"尕","尕"
62056,"尖","尖"
68232,"咯","咯"
68249,"哆","哆"
68268,"哀","哀"
69077,"唭","唭"
69078,"唶","唶"
69085,"喏","喏"
69087,"喵","喵"
69088,"啢","唡"
69089,"啀","啀"
69092,"唵","唵"
69100,"唻","唻"
69101,"啄","啄"
69867,"喝","喝"
69901,"喂","喂"
69904,"喟","喟"
60586,"尢","尢"
60587,"尤","尤"
60767,"尷","尴"
60769,"弋","弋"
60784,"式","式"
60815,"弒","弒"
60818,"小","小"
62105,"尚","尚"
62164,"口","口"
62430,"古","古"
62912,"只","只"
65914,"吶","吶"
65920,"吽","吽"
65924,"告","告"
67218,"咐","咐"
67219,"呱","呱"
67237,"命","命"
67969,"哂","哂"
67976,"咧","咧"
67979,"呰","呰"
67983,"咦","咦"
67984,"咥","咥"
67988,"呲","呲"
67992,"咢","咢"
67997,"品","品"
70819,"嗣","嗣"
62643,"叮","叮"
62656,"可","可"
63145,"叱","叱"
63357,"叼","叼"
63359,"叫","叫"
63419,"叩","叩"
63457,"叨","叨"
63499,"召","召"
63542,"另","另"
63905,"吋","吋"
63906,"呂","吕"
63622,"吁","吁"
63641,"吐","吐"
63755,"吉","吉"
63948,"同","同"
65752,"吾","吾"
68949,"唴","唴"
68950,"唦","唦"
68952,"唚","吣"
68953,"唧","唧"
68966,"啊","啊"
68971,"唉","唉"
70600,"喧","喧"
77095,"岒","岒"
77097,"岔","岔"
64392,"吊","吊"
64393,"吃","吃"
64595,"吒","咤"
64608,"向","向"
64678,"后","后"
64701,"合","合"
65056,"名","名"
65312,"各","各"
65357,"吸","吸"
65408,"吆","吆"
65418,"呈","呈"
65473,"吳","吴"
65693,"呆","呆"
65794,"吱","吱"
65812,"否","否"
65864,"呔","呔"
65865,"吰","吰"
65867,"呃","呃"
65872,"呀","呀"
65892,"吨","吨"
65893,"吵","吵"
66159,"含","含"
66841,"呸","呸"
66844,"咘","咘"
66845,"呯","呯"
66846,"呫","呫"
66853,"呾","呾"
66858,"咀","咀"
71883,"噱","噱"
71888,"噳","噳"
71890,"噹","当"
71893,"噥","哝"
71898,"器","器"
