chars,pinyin
"境","jìng"
"墅","shù"
"墉","yōng"
"墐","jǐn"
"墓","mù"
"墙","qiáng"
"墝","qiāo"
"增","zēng"
"墟","xū"
"墠","shàn"
"墦","fán"
"墨","mò"
"墩","dūn"
"墫","zūn"
"墺","ào"
"壁","bì"
"壅","yōng"
"壈","lǎn"
"壎","xūn"
"壑","hè"
"壒","ài"
"壔","dǎo"
"壕","háo"
"壖","ruán"
"壤","rǎng"
"士","shì"
"壬","rén"
"壮","zhuàng"
"声","shēng"
"壳","ké"
"壳","qiào"
"壶","hú"
"壹","yī"
"壿","zūn"
"处","chù"
"处","chǔ"
"夆","féng"
"备","bèi"
"复","fù"
"夏","xià"
"夔","kuí"
"夕","xì"
"夕","xī"
"外","wài"
"夙","sù"
"多","duō"
"夜","yè"
"够","gòu"
"夤","yín"
"夥","huǒ"
"大","dà"
"大","dài"
"天","tiān"
"太","tài"
"夫","fū"
"夬","guài"
"夭","yāo"
"央","yāng"
"夯","hāng"
"失","shī"
"头","tou"
"头","tóu"
"夷","yí"
"夸","kuā"
"夹","jiá"
"夹","jiā"
"夺","duó"
"奁","lián"
"奂","huàn"
"奄","yǎn"
"奄","yān"
"奇","jī"
"奇","qí"
"奈","nài"
"奉","fèng"
"奋","fèn"
"奎","kuí"
"奏","zòu"
"契","qì"
"奓","shē"
"奔","bèn"
"奔","bēn"
"奕","yì"
"奖","jiǎng"
"套","tào"
"奘","zàng"
"奘","zhuǎng"
"奚","xī"
"奠","diàn"
"奡","ào"
"奢","shē"
"奥","ào"
"奭","shì"
"女","nǚ"
"奴","nú"
"奶","nǎi"
"奸","jiān"
"她","tā"
"好","hào"
"好","hǎo"
"妁","shuò"
"如","rú"
"妃","fēi"
"妄","wàng"
"妆","zhuāng"
"妇","fù"
"妈","mā"
"妊","rèn"
"妍","yán"
"妒","dù"
"妓","jì"
"妖","yāo"
"妗","jìn"
"妙","miào"
"妞","niū"
"妣","bǐ"
"妤","yú"
"妥","tuǒ"
"妨","fáng"
"妩","wǔ"
"妪","yù"
"妫","guī"
"妯","zhóu"
"妲","dá"
"妵","tǒu"
"妹","mèi"
"妻","qì"
"妻","qī"
"妾","qiè"
"姁","xǔ"
"姅","bàn"
"姆","mǔ"
"姊","zǐ"
"始","shǐ"
"姐","jiě"
"姑","gū"
"姒","sì"
"姓","xìng"
"委","wěi"
"委","wēi"
"姗","shān"
"姘","pīn"
"姚","yáo"
"姜","jiāng"
"姝","shū"
"姞","jí"
"姣","jiāo"
"姤","gòu"
"姥","lǎo"
"姥","mǔ"
"姨","yí"
"姬","jī"
"姮","héng"
"姱","kuā"
"姻","yīn"
"姽","guǐ"
"姿","zī"
"娀","sōng"
"威","wēi"
"娃","wá"
"娄","lóu"
"娅","yà"
"娆","ráo"
"娆","rǎo"
"娇","jiāo"
"娈","luán"
"娉","pīng"
"娌","lǐ"
"娑","suō"
"娓","wěi"
"娘","niáng"
"娜","nuó"
"娟","juān"
"娠","shēn"
"娣","dì"
"娥","é"
"娩","miǎn"
"娩","wǎn"
"娱","yú"
"娲","wā"
"娴","xián"
"娵","jū"
"娶","qǔ"
"娸","qí"
"娼","chāng"
"婀","ē"
"婆","pó"
"婉","wǎn"
"婊","biǎo"
"婕","jié"
"婚","hūn"
"婞","xìng"
"婢","bì"
"婤","zhōu"
"婥","chuò"
"婪","lán"
"婴","yīng"
"婵","chán"
"婶","shěn"
"婷","tíng"
"婺","wù"
"婼","chuò"
"婿","xù"
"媄","měi"
"媊","qián"
"媒","méi"
"媕","ān"
"媚","mèi"
"媛","yuán"
"媛","yuàn"
"媟","xiè"
"媢","mào"
"媪","ǎo"
"媬","bǎo"
"媮","tōu"
"媲","pì"
"媳","xí"
"媵","yìng"
"媸","chī"
"媺","měi"
"媾","gòu"
"媿","kuì"
"嫁","jià"
"嫂","sǎo"
"嫄","yuán"
"嫈","yīng"
"嫌","xián"
"嫒","ài"
"嫔","pín"
"嫖","piáo"
"嫘","léi"
"嫚","màn"
"嫜","zhāng"
"嫠","lí"
"嫡","dí"
"嫣","yān"
"嫦","cháng"
"嫩","nèn"
"嫪","lào"
"嫫","mó"
"嫱","qiáng"
"嫽","liáo"
"嫿","huà"
"嬃","xū"
"嬉","xī"
"嬖","bì"
"嬗","shàn"
"嬛","huán"
"嬛","xuān"
"嬝","niǎo"
"嬭","nǎi"
"嬲","niǎo"
"嬴","yíng"
"嬷","mā"
"嬾","lǎn"
